StoreID,LocationName,LocationOwnerType,ABN,State,StoreType,StoreTypeName,DateOpened,DateClosed,ShortCode,TradeDays,Territory,Country,Postcode,Address1,Address2,Suburb,Phone,Latitude,Longitude,AvgOrderTime,Bitmask,PaymentGatewayCustomerID,OpeningTimesSunday,OpeningTimesMonday,OpeningTimesTuesday,OpeningTimesWednesday,OpeningTimesThursday,OpeningTimesFriday,OpeningTimesSaturday,OpeningTimesPublicHoliday,ClosingTimesSunday,ClosingTimesMonday,ClosingTimesTuesday,ClosingTimesWednesday,ClosingTimesThursday,ClosingTimesFriday,ClosingTimesSaturday,ClosingTimesPublicHoliday
-1,"Default location",1,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,
1," HQ Test - National",1,86169674551,VIC,4,OTHER,,,,7,,AUSTRALIA,3141,"Level 10, Como Tower.","644 Chapel Street","SOUTH YARRA",,-37.839331,144.995929,15,2474,,06:00:00,06:00:00,06:00:00,06:00:00,06:00:00,11:00:00,06:00:00,06:00:00,23:30:00,23:30:00,23:30:00,23:30:00,23:30:00,22:30:00,23:30:00,23:30:00
2,"Belmont Forum",3,14616426423,WA,4,OTHER,,,,7,,AUSTRALIA,6105,"227 Belmont Ave",,CLOVERDALE,"(08) 9478 1334",-31.9664809,115.9345381,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,21:00:00,21:00:00,21:00:00,21:00:00,22:00:00,22:00:00,22:00:00,21:00:00
3,"Tea Tree Plaza",3,70614634187,SA,4,OTHER,,,,7,,AUSTRALIA,5092,"Shop SP, 04/976 North East Road",,MODBURY,"(08) 7225 0122",-34.83149,138.69122,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,21:00:00,20:00:00
4," HQ Test - Regional Backup",1,86169674551,VIC,4,OTHER,,,,7,,AUSTRALIA,3121,"51 Stephenson Street",,CREMORNE,,0,0,10,2218,,04:00:00,04:00:00,04:00:00,04:00:00,04:00:00,04:00:00,04:00:00,04:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00,23:00:00
5,"South Yarra",3,41621925693,VIC,4,OTHER,,,,7,,AUSTRALIA,3141,"Como Centre, Tenancy T15/299 Toorak Rd",,"SOUTH YARRA","(03) 9131 4096",-37.83946,144.99646,15,23694,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00
6,Bayside,3,81548794915,VIC,4,OTHER,,,,7,,AUSTRALIA,3199,"Bayside Shopping Centre","5 Shannon Street Mall",FRANKSTON,"(03) 9770 2640",-38.14104,145.12479,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,20:30:00,20:30:00
7,Greensborough,3,93678110319,VIC,4,OTHER,,,,7,,AUSTRALIA,3088,"Greensborough Plaza","Shop 7/25 Main Street",GREENSBOROUGH,"(03) 9435 8557",-37.70401,145.10303,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,20:30:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,20:30:00,20:30:00
8,Knox,3,83923317475,VIC,4,OTHER,,,,7,,AUSTRALIA,3152,"Shop 3110B/425 Burwood Hwy",,"WANTIRNA SOUTH","(03) 7036 2979",-37.868967,145.243024,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,21:45:00,21:45:00,21:45:00,21:45:00,22:00:00,22:00:00,22:00:00,21:45:00
9,"Newmarket Village",3,41621925693,QLD,4,OTHER,,,,7,,AUSTRALIA,4051,"Newmarket Village Shop 6, Ground Floor","400 Newmarket Road",NEWMARKET,"(07) 3352 5276",-27.43717,153.00806,15,5290,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,
10,"203 Elizabeth Street",3,61151507283,VIC,4,OTHER,,,,7,,AUSTRALIA,3000,"shop 1/203-207 Elizabeth St",,MELBOURNE,"(03) 9606 0388",-37.81367,144.96262,15,7338,,,,,,,,,,,,,,,,,
11,"Airport West",3,21654100348,VIC,4,OTHER,,,,7,,AUSTRALIA,3042,"Shop 209/29 Louis St",,"AIRPORT WEST","(03) 9338 2809",-37.71345,144.88422,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,09:45:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,20:00:00,18:30:00
12,Ballarat,3,66586464413,VIC,4,OTHER,,,,7,,AUSTRALIA,3350,"321 Sturt St",,BALLARAT,"(03) 4343 1399",-37.56202,143.85521,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,21:45:00,21:45:00,21:45:00,21:45:00,21:45:00,22:00:00,22:00:00,21:45:00
13,"Barkly Square",3,97654100231,VIC,4,OTHER,,,,7,,AUSTRALIA,3056,"Barkly Square"," Shop B1/90-106 Sydney Rd",BRUNSWICK,0391011152,-37.7757142,144.96089,15,23682,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,22:00:00,22:00:00,22:00:00,22:00:00,22:00:00,23:00:00,22:00:00,21:00:00
14,Belconnen,3,54606538112,ACT,4,OTHER,,,,7,,AUSTRALIA,2617,"Shop 205 Westfield Belconnen","Belconnen, Benjamin Way",BELCONNEN,"(02) 6253 2174",0,0,15,5288,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,,17:00:00,17:30:00,17:30:00,17:30:00,19:00:00,21:30:00,19:00:00,
15,Bendigo,3,63660218968,VIC,4,OTHER,,,,7,,AUSTRALIA,3550,"34 Pall Mall",,BENDIGO,"(03) 5442 6899",-36.75918,144.27961,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,10:30:00,11:00:00,11:00:00,20:45:00,20:45:00,20:45:00,20:45:00,20:45:00,21:15:00,21:15:00,20:45:00
16,"Bondi Junction",3,,NSW,4,OTHER,,,,7,,AUSTRALIA,1355,"Westfield Bondi Junction, Level 5, FC 08","500 Oxford Street","BONDI JUNCTION","(02) 9389 0769",-33.89194,151.25061,25,23720,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,17:00:00,18:00:00,18:00:00,18:00:00,21:00:00,18:00:00,18:00:00,17:00:00
17,Broadmeadows,3,43166256962,VIC,4,OTHER,,,,7,,AUSTRALIA,3047,"Broadmeadows Shopping Centre","1099 - 1169 Pascoe Vale Rd",BROADMEADOWS,"(03) 9309 1666",-37.67809,144.92165,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,20:00:00,20:00:00
18,Broadway,3,32612058152,NSW,4,OTHER,,,,7,,AUSTRALIA,2037,"218/1 Bay St",,GLEBE,"(02) 9280 4439",-33.8837,151.19388,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:30:00,21:30:00,21:30:00,20:30:00
19,Burwood,3,54611022612,NSW,4,OTHER,,,,7,,AUSTRALIA,2134,"Shop FK1/100 Burwood Rd",,BURWOOD,"(02) 9744 9145",0,0,15,5288,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,,18:30:00,18:30:00,18:30:00,18:30:00,21:00:00,18:30:00,18:30:00,
20,"Burwood One",3,52924592497,VIC,4,OTHER,,,,7,,AUSTRALIA,3151,"Burwood One Shopping Centre  Shop G31","Corner Blackburn Rd &, Burwood Hwy","BURWOOD EAST","(03) 9886 8146",-37.852814,145.148792,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:30:00,21:30:00,21:30:00,21:30:00,22:00:00,22:00:00,22:00:00,21:30:00
21,Cairns,3,11699474559,QLD,4,OTHER,,,,7,,AUSTRALIA,4870,"2/77 Esplanade",,CAIRNS,"(07) 4253 5464",-16.9198,145.77669,15,23720,,,,,,,,,,,,,,,,,
22,Chadstone,3,45007209761,VIC,4,OTHER,,,,7,,AUSTRALIA,3148,"Chadstone Food Court Near KFC","Shop B332,1341 Dandenong Rd",CHADSTONE,"(03) 9569 1440",-37.886379,145.082595,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,18:30:00,17:00:00,17:00:00,17:00:00,21:00:00,21:00:00,21:00:00,20:30:00
