Recid,CategoryName,Description,Bitmask,LinkedItemID,LinkedItemType,LongName
-400,"System Inst","System Inst",256,0,0,
-300,"POS Surcharges","POS Surcharges",0,0,0,
-200,"POS Discounts","POS Discounts",0,0,0,
-100,System,System,0,0,0,
-40,"System Inst","System Inst",0,0,0,
-30,"POS Surcharges","POS Surcharges",0,0,0,
-20,"POS Discounts","POS Discounts",0,0,0,
-10,System,System,0,0,0,
-4,"System Inst","System Inst",256,0,0,
-3,"POS Surcharges","POS Surcharges",0,0,0,
-2,"POS Discounts","POS Discounts",0,0,0,
-1,System,System,0,0,0,
1,Wraps&Rolls,Wraps&Rolls,8,0,0,Wraps&Rolls
2,Schnitzels,Schnitzels,8,0,0,Schnitzels
3,Salads,Salads,8,0,0,Salads
4,Z_Vegan,Z_Vegan,8,0,0,Vegan
5,Snacks,Snacks,8,0,0,Snacks
6,Kids,Kids,8,0,0,Kids
7,"Wraps & Rolls","Wraps & Rolls",520,0,0,"Wraps & Rolls"
8,Schnitzels,Schnitzels,1544,0,0,Schnitzels
9,Salads,Salads,1544,0,0,Salads
10,Vegan,Vegan,1544,0,0,Vegan
11,Snacks,Snacks,1544,0,0,Snacks
12,Kids,Kids,1544,0,0,Kids
13,C_BreadType,C_BreadType,3848,0,0,C_BreadType
15,C_CrumbType,C_CrumbType,3848,0,0,C_CrumbType
16,Additions,Additions,3848,0,0,Additions
17,Remove,Remove,7944,0,0,Remove
18,C_Sides,C_Sides,3848,0,0,C_Sides
19,Choices,Choices,8,0,0,Choices
20,Additions,Additions,8,0,0,Add
21,Remove,Remove,8,0,0,Remove
22,Dips,Dips,520,0,0,Dips
23,Dips,Dips,8,0,0,Dips
24,Sides,Sides,1544,0,0,Sides
25,Sides,Sides,8,0,0,Sides
26,"Non Alcoholic","Non Alcoholic",8,0,0,"Non Alcoholic"
27,_Backupp,_Backupp,1544,0,0,Backup
28,Schnitz_SalADD,Schnitz_SalADD,3848,0,0,Schnitz_SalADD
29,Other,Other,1544,0,0,Other
30,"Small Drinks","Small Drinks",1544,0,0,"300ml Drinks"
31,"Regular Drinks","Regular Drinks",1544,0,0,"600ml Drinks"
34,_Bundles,_Bundles,1544,0,0,_Bundles
35,_Bundles,_Bundles,8,0,0,_Bundles
36,Meal,Meal,1536,0,0,"Make It A Meal?"
37,Meal,Meal,8,0,0,Meal
