Recid,PLUCode,ItemName,ClassCode,ClassName,CategoryCode,CategoryDescription,CategoryCode2,CategoryDescription2,ActiveStatus,GSTType,Price1,Price2,Price3,Price4,Price5,AwardPoints1,AwardPoints2,AwardPoints3,AwardPoints4,AwardPoints5,RedeemPoints1,RedeemPoints2,RedeemPoints3,RedeemPoints4,RedeemPoints5,Bitmask,ImagePath,PLUModifier,RevenueAccount
-10,-10,"Seat Position Label",-1,System,-1,System,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1-4-7101
-9,-9,"Loyalty Redemptions",-1,System,-2,"POS Discounts",0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1-4-7111
-8,-8,"Uber Eats Delivery Fee",-1,System,-3,"POS Surcharges",0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4-7122
-7,6,"Xero GST Adjustment",-1,System,-1,System,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1-4-7101
-6,9,"EFT Surcharge",-1,System,-3,"POS Surcharges",0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7121
-5,8,"Dynamic PLU Instruction",-1,System,-4,"System Inst",0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7101
-4,7,"Sale Rounding",-1,System,-1,System,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7101
-3,5,"EFT Cash Out",-1,System,-1,System,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7121
-2,4,"POS Surcharge",-1,System,-3,"POS Surcharges",0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7121
-1,3,"POS Discount",-1,System,-2,"POS Discounts",0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,,,1-4-7111
21,21,"Basic Inst CHK",5,Mains,7,Wraps&Rolls,0,,1,1,12,0,14.1,15.1,15.6,120,0,141,151,156,0,0,0,0,0,2817,,CHK,1-4-3001
22,22,"E-Gift Card Top Up",10,Other,84,"Gift Card",0,,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,,,1-2-2201
23,23,"E-Hybrid Top Up",10,Other,84,"Gift Card",0,,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,,,1-2-2201
24,24,Burger,5,Mains,13,Choices,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,CHK,1-4-3001
25,25,Wrap,5,Mains,13,Choices,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,CHK,1-4-3001
28,28,"#Veggie Trad",5,Mains,15,Choices,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,VEG,1-4-3001
29,29,"#Chicken Spicy",5,Mains,15,Choices,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,CHK,1-4-3001
30,30,"No Cos Lettuce",5,Mains,17,Remove,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,,1-4-3001
31,31,"No Mayo",5,Mains,17,Remove,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,,1-4-3001
32,32,"No Cheese",5,Mains,17,Remove,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,,,1-4-3001
34,34,"REG Plain & Simple",5,Mains,7,Wraps&Rolls,0,,0,1,10.9,0,0,0,0,109,0,0,0,0,0,0,0,0,0,2304,,VEG,1-4-3001
35,35,"Chips SML",5,Mains,24,Sides,0,,1,1,5.2,0,6,6.5,6.8,52,0,60,65,68,0,0,0,0,0,2816,,SML,1-4-3001
36,36,"Chips LRG",5,Mains,24,Sides,0,,1,1,7.5,0,8.7,9.4,10,75,0,87,94,100,0,0,0,0,0,2816,,LRG,1-4-3001
